"dataelementUID","period","orgUnitUID","categoryOptionComboUID","ImplementingMechanismUID","dataValue",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","BXVSBShabAV","AvKGVOKhI0t","632",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","fKutkl1woOh","AvKGVOKhI0t","289",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","wzERTiClETp","AvKGVOKhI0t","632",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","VJLbRW6R553","AvKGVOKhI0t","289",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","GWDE9M05Fyf","AvKGVOKhI0t","116",,
"JxBTk0UYjjf","2017","Wd7fRx7kIDT","yboc4U6mh3p","AvKGVOKhI0t","98",,
"bhZUgdZZHMq","2017","S3nhzDadRjF","Gm6B7Z9Tbxs","NbvMUkJmS5N","2",,
"bhZUgdZZHMq","2017","S3nhzDadRjF","xP7pDf7Dsya","NbvMUkJmS5N","25",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","cYxMZbJKie1","NbvMUkJmS5N","10",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","KLEhX0pJjLD","NbvMUkJmS5N","9",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","p9ngKMI1HlP","NbvMUkJmS5N","6",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","ICQVBpakGjE","NbvMUkJmS5N","3",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","LXuJtbiUk7o","NbvMUkJmS5N","20",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","R54ocOMuaZA","NbvMUkJmS5N","4",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","CuAKN91lKD6","NbvMUkJmS5N","188",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","MEQrzTnlr9a","NbvMUkJmS5N","86",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","VVHFpTkvtp2","NbvMUkJmS5N","188",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","FtKeuScH4zG","NbvMUkJmS5N","86",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","BXVSBShabAV","NbvMUkJmS5N","188",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","fKutkl1woOh","NbvMUkJmS5N","86",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","wzERTiClETp","NbvMUkJmS5N","188",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","VJLbRW6R553","NbvMUkJmS5N","86",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","GWDE9M05Fyf","NbvMUkJmS5N","35",,
"JxBTk0UYjjf","2017","S3nhzDadRjF","yboc4U6mh3p","NbvMUkJmS5N","30",,
"bhZUgdZZHMq","2017","yYUcfesOy2t","Gm6B7Z9Tbxs","NbvMUkJmS5N","21",,
"bhZUgdZZHMq","2017","yYUcfesOy2t","xP7pDf7Dsya","NbvMUkJmS5N","300",,
